file,class,method,variable,usage
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic.PetClinicIntegrationTests,testOwnerDetails/0,port,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic.PetClinicIntegrationTests,testOwnerDetails/0,builder,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic.PetClinicIntegrationTests,testFindAll/0,vets,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getType/0,type,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,setType/1[org.springframework.samples.petclinic.owner.PetType],type,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getVisits/0,visits,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getBirthDate/0,birthDate,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,setBirthDate/1[java.time.LocalDate],birthDate,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,petName,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,petBirthDate,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,petTypeName,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,petValidator,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,petType,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,pet,4
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,errors,2
