file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic.PetClinicIntegrationTests,testOwnerDetails/0,false,53,3,0,0,0,1,7,5,0,2,0,7,0,0,0,0,0,0,2,0,2,1,0,0,0,0,11,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic.PetClinicIntegrationTests,testFindAll/0,false,47,2,1,0,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic.PetClinicIntegrationTests,main/1[java.lang.String[]],false,59,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getType/0,false,69,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,setType/1[org.springframework.samples.petclinic.owner.PetType],false,73,1,7,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getVisits/0,false,77,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,addVisit/1[org.springframework.samples.petclinic.owner.Visit],false,81,2,3,2,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,getBirthDate/0,false,65,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/owner/Pet.java,org.springframework.samples.petclinic.owner.Pet,setBirthDate/1[java.time.LocalDate],false,61,0,7,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,org.springframework.samples.petclinic.owner.PetValidatorTests,testValidate/0,false,66,4,4,0,4,1,6,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
